formula,spacegroup
Na4CoO4,1
Na3La8Ti9Mn3O36,0
Rb12Sn8GeO4,13
Co2TeBr2O3,55
SmGaGe2O7,13
Li4Fe7(OF7)2,1
NaCa2ZrSi2O9,3
TlCuCl3,13
Mg2Sn3O8,183
LiCuPO4,32
Li7Mn4CoO12,0
Ce2Si3Rh,191
SmCoSi3,105
Te2H2O3F4,42
Sm(Tl3Te2)3,86
Li3MnPCO7,1
Mn5SiB2,138
V3(O2F)2,11
Li2Fe(PO3)4,13
LaZnGa,191
Na2ZnGeO4,6
PrH20S4N5O16,14
Li6Ti3Fe(PO4)6,0
NaSr3IrO6,165
Li2Mn3SnO8,35
Li7Mn4CoO12,1
MgFe3(PO4)3,0
Li2MnSnO4,117
LiAc2Ru,219
Ti3N2O3,35
Y4TiSi2(O3F2)3,62
Mg6MnCuO8,121
MnZn(SiO3)2,60
Bi2TeO2,41
Eu2MgIrO6,13
CeSbIr,61
In4Br7,14
Tb6Ga19Pt3,7
LuAu2,137
NaAsH4O5,18
LiZnInF6,148
ErCoO3,61
Rb14Si6Ge4O17,13
Li9Fe4(PO5)4,0
NbTeBr3,12
K4CaU3O12,223
Li2MnCo3O8,206
Be12W,137
V2CoS4,11
Ba4InAgS6,13
Ho6GaNi2,70
Li4Cr3CoO8,11
Na2FeNiF7,73
TbSnAu2,219
Rh2Se3,59
Li2MnNi(PO4)2,10
NaP4(W3O11)4,0
CoH12(BrO3)2,11
YNiO3,182
Li4Mn3O7,1
NdZnSbO,127
TaRu,215
Li3Fe4(BO3)4,0
Rb2In3F11,10
ZrAu4,61
YB4W,54
Pr2TeO2,137
Lu3InC,215
Tb5Sn3,190
KAs,18
NaLa2TaO6,13
MgCd3,219
BaCu2Ge2O7,61
LiAg2F6,148
Y3GaCo3,62
Ca2AlZn16,158
Eu2TlZn,219
Ba11B26P2(H3O29)2,13
Ca2YFe4SbO12,1
AgPt3,215
Th7Rh3,183
Sm3AlCoS7,170
Sr3LaZnRuO8,37
LaPRh,107
K2TcF6,162
NdB2Rh3,188
Be2NiPt,219
ZnMoO4,1
Tl4Pd15Pb,121
Sr2Bi,137
CuBr,117
ZnH20PtC4(NO3)4,22
NdAl3Cu,105
Mg30TiVO32,121
Hf2InPd2,125
V3(OF3)2,1
Li3Cr2P5O16,12
Na5Zr2Al2SiP5O24,0
LiCuF3,0
La(AuF4)3,165
Cs3CoI5,61
HoCl3,191
SiC,154
LiAu4Se4(ClO3)4,0
Dy(CuTe)3,146
Zn(MoO2)2,7
Dy3Mg2VS8,164
NaLaMg30O32,121
Li6Mn2O5F2,6
K2NaTiOF5,105
Ge,191
Er6Al41Cr6,160
Li3MnCoO5,0
LiLa20Cu9O40,1
Na6Nb4Al4Si7S5O48,0
Ca11(FeN5)2,7
LiNbCoO4,93
W2SeS3,154
NiCO3,165
H3CO3,13
Li10Si(PSe6)2,0
La4CdCo,210
V4S9Br4,127
Ho2B3O8,59
RuF6,223
Cu10Sn3,173
V(PO3)4,14
La2SbAu3,24
Mg149Zn,184
TiGePt,210
PmAl3,191
LiI,219
BaInO3,215
CoNiSe4,13
Yb(ZnGa)2,137
Sm(Re2Si)2,134
Li4MnCu3O8,164
EuSi2Ni,62
U(SO4)2,60
Na5Nb3AlSi5PO24,0
TlAuO2,164
LaMnSbO,127
Eu(PO3)3,19
Hf3(CuSi)4,70
Li4Fe(WO4)3,2
MnZn5(BO5)2,25
Ba(BRh)2,137
Ca2WN2,1
GdAu,215
Na6FeS4,183
Sn2(SO4)3,13
K2NaYCl6,219
CaFe2(PO4)2,14
YZr4O10,86
Na7Al2Si3Ge2(PO8)3,0
TbGaCo,61
Ca10Si3S3(O12F)2,171
Ho2H4CO7,13
DySnGe,62
LiMn2F5,61
YPS4,140
Ca(CuSi)2,137
HoIn2Pd,105
Ti4FeCoS8,1
HoAsSe,127
MgMnP2O7,13
Tm3In,215
Na2RuO4,13
NbGe(PO4)3,159
MnP2(HO4)2,13
AcYbGa2,219
RbSb,13
Eu(SbPd)2,127
Ba4PrDy(Cu3O7)2,46
Li4Ti3Mn3(CoO8)2,0
Ce10S14O,140
Mn6OF11,4
Mn6BP,4
Te2Mo3W(Se2S)2,154
Li3VCr4O8,11
WS2,184
CuClO,32
Li3Fe(Si2O5)3,63
Eu2ZnBi2,184
LaAg(PO3)4,13
Ba5B4O11,18
Li2MnF4,6
Zn3BPO7,171
Li5Mn3O8,11
Li6V3P8O29,0
BaSrLaBiO6,15
NaNpH2SeO7,14
LiSb(PO3)4,3
MnV3(PO4)4,5
In3Co,64
LiMn5(CuO6)2,4
Er3GaS6,35
LiSiBiO4,32
Mg14TiZn,37
Na3Pd,219
Pr2FeCuO6,13
Zr(MnGe)6,188
Sm(PO3)3,19
Cs3FeO3,13
SiPb4(ClO)4,13
KRb2AsCl6,219
NaAlH8(NF3)2,219
Sr3Co(CN)3,173
Ti4(Fe2O5)3,0
